# Newly-confirmed REGION-SAME no-funcmap US-C-portable functions.
# Generated by scripts/classify_nofuncmap.py (relocation-aware
# find_runs-style match + raw-byte exact pre-pass). These are NOT in
# layout/us_jp_funcmap.tsv -- the harvest agents can target them next.
# tier: exact=raw US bytes unique in JP (immediately portable);
#       reloc-unique=isolated-compile masked .text unique in JP;
#       reloc-ambiguous=masked .text matches >=2 JP sites (carve w/ neighbour).
# jp_addr	us_addr	size	tier	name	tu
08000CB4	08000D34	12	reloc-ambiguous	SetGameTime	time
08000CB4	0800D588	12	reloc-ambiguous	SetEventSlotCounter	event
08000CB4	08011468	12	reloc-ambiguous	SetPopupNumber	popup
08000CB4	0801B998	12	reloc-ambiguous	SetWorkingBmMap	bmidoten
08000CB4	080A4D34	12	reloc-ambiguous	SetBonusContentClaimFlags	bmsave
08000CB4	080B5528	12	reloc-ambiguous	ShopSt_SetHeadLocBak	bmshop
08000CD8	08000D28	12	reloc-ambiguous	GetGameClock	time
08000CD8	0800D594	12	reloc-ambiguous	GetEventSlotCounter	event
08000CD8	0805B028	12	reloc-ambiguous	GetBattleAnimArenaFlag	banim-ekrarena
08000CD8	080A0A94	12	reloc-ambiguous	GetSupportScreenUnitCount	uisupport
08000CD8	080A4D28	12	reloc-ambiguous	GetBonusContentClaimFlags	bmsave
08000D68	08000DB8	92	reloc-unique	CopyToPaletteBuffer	hardware
080013FC	08001440	12	reloc-ambiguous	SetKeyStatus_IgnoreMask	hardware
080013FC	0801145C	12	reloc-ambiguous	SetPopupItem	popup
08001408	0800144C	12	reloc-unique	GetKeyStatus_IgnoreMask	hardware
080014A4	080014E8	52	reloc-unique	ClearBg0Tilemap	hardware
08001BC0	08004208	16	reloc-ambiguous	GetColorLut	fontgrp
08001EE4	08000D00	12	reloc-ambiguous	EnableKeyComboResetEN	time
08001EE4	08001F94	12	reloc-ambiguous	EnablePaletteSync	hardware
08001EE4	0804B920	12	reloc-ambiguous	Set_UnkData_0	sio_804B920
08001EF0	08000D0C	12	reloc-ambiguous	DisableKeyComboResetEN	time
08001EF0	08001FA0	12	reloc-ambiguous	DisablePaletteSync	hardware
08001EF0	0804B92C	12	reloc-ambiguous	Clear_UnkData_0	sio_804B920
08001EF0	080BAB00	12	reloc-ambiguous	GMapScreen_ResetState	worldmap_screen
08001FD8	08002088	116	reloc-unique	FlushTiles	hardware
08002088	08002138	68	reloc-unique	SyncHiOam	hardware
080020CC	0800217C	52	reloc-unique	SyncLoOam	hardware
08002100	080021B0	52	reloc-ambiguous	SetObjAffine	hardware
08002100	08005370	52	reloc-ambiguous	PutObjectAffine	ctc
0800219C	0800224C	12	reloc-unique	GetPrimaryOAMSize	hardware
080021C4	08002274	120	reloc-unique	Sound_SetBGMVolume	soundwrapper
0800223C	080022EC	48	reloc-unique	Sound_SetSEVolume	soundwrapper
0800226C	0800231C	96	reloc-unique	Sound_FadeOutBGM	soundwrapper
080022CC	0800237C	100	reloc-unique	Sound_FadeOutBGMAlt	soundwrapper
08002330	080023E0	104	reloc-unique	Sound_FadeOutSE	soundwrapper
08002398	08002448	48	reloc-unique	StartBgmCore	soundwrapper
08002570	08002620	80	reloc-unique	OverrideBgm	soundwrapper
080025C0	08002670	76	reloc-unique	RestoreBgm	soundwrapper
0800260C	080026BC	80	reloc-unique	_RestoreBgm	soundwrapper
08002838	080028E8	20	reloc-unique	Sound_SetMaxNumChannels	soundwrapper
08002A18	08002AC8	48	reloc-unique	Sound_StopBgmImmediate	soundwrapper
08002AF4	080D1568	20	reloc-ambiguous	ply_xxx	m4a
08002B44	0803821C	20	reloc-ambiguous	PopGlobalTimer	bmdifficulty
08002B44	0805B380	20	reloc-ambiguous	EndEkrTogiColor	banim-ekrarena
08002B44	0805A9E0	20	reloc-ambiguous	EndEfxAnimeDrvProc	banim-ekrmainmini
08002B44	08051AF4	20	reloc-ambiguous	EndEkrDispUP	banim-ekrdispup
08002B44	0805116C	20	reloc-ambiguous	EndEkrGauge	banim-ekrgauge
08002B44	08072A00	20	reloc-ambiguous	EndEkrClasschg	banim-ekrclasschg
08002B44	08073518	20	reloc-ambiguous	EndEkrLevelUp	banim-ekrlvup
08002BCC	08002C7C	100	reloc-unique	Proc_Start	proc
08002C60	08002D10	92	reloc-unique	DeleteProcessRecursive	proc
08002D78	08002E28	92	reloc-unique	RunProcessRecursive	proc
08002EC0	08002F70	40	reloc-unique	Proc_ForAll	proc
08002EE8	08002F98	40	reloc-unique	Proc_ForEach	proc
08002F10	08002FC0	44	reloc-unique	Proc_ForEachMarked	proc
08002FF4	080030A4	40	reloc-unique	ForAllFollowingProcs	proc
0800301C	080030CC	28	reloc-unique	Proc_ForEachInTree	proc
08003038	0800BE2C	12	reloc-ambiguous	Event82_WmEnd	eventscr_gmap
08003038	0800E7C4	12	reloc-ambiguous	Event20_	eventscr
08003038	080CDB1C	12	reloc-ambiguous	ClassChgMenuSelOnInit	classchg-menuselect
08003038	080CDB28	12	reloc-ambiguous	ClassChgMenuSelOnEnd	classchg-menuselect
08003038	080CDA84	12	reloc-ambiguous	PromoSubConfirm_OnInit	classchg-menuconfirm
08003054	08003104	20	reloc-unique	ProcCmd_CALL_ROUTINE	proc
0800309C	08003150	44	reloc-unique	ProcCmd_WHILE_ROUTINE	proc
080030D8	0800318C	28	reloc-unique	ProcCmd_SET_DESTRUCTOR	proc
