# US<->JP ROM-address map derived from FEBuilderGBA (GPL-3.0) ROM definitions: ROMFE8JP.cs / ROMFE8U.cs.
# Factual addresses only; no copied code/text. Reference data only (not a build input).
# Generated by scripts/extract_febuilder_map.py (deterministic).
# region: byte comparison of a 32-byte window at jp_vma (baserom.gba) vs us_vma (US ROM); oob = window outside the 16 MB image.
# name	jp_vma	us_vma	region	exact_symbol	nearest_symbol_off	source
mask_point_base_pointer	0x080006DC	0x080006DC	diff		_08000630+0xAC	ROMFE8JP.cs:16
mask_pointer	0x080006E0	0x080006E0	diff		_08000630+0xB0	ROMFE8JP.cs:17
text_pointer	0x0800A000	0x0800A2A0	diff		GetStringFromIndexInBuffer+0x20	ROMFE8JP.cs:18
text_recover_address	0x0814D08C	0x0815D48C	diff	gMsgTable	gMsgTable	ROMFE8JP.cs:19
text_data_start_address	0x080ED7F4	0x080E8414	diff	CompressedText_MSG_000	CompressedText_MSG_000	ROMFE8JP.cs:20
text_data_end_address	0x0814929B	0x0815AB80	diff		gMsgHuffmanTable+0x454	ROMFE8JP.cs:21
max_level_address	0x0802B9C0	0x0802BA78	same		CheckBattleUnitLevelUp+0x50	ROMFE8JP.cs:25
max_luck_address	0x0802BF5E	0x0802C016	diff		CheckBattleUnitStatCaps+0xF2	ROMFE8JP.cs:26
portrait_pointer	0x0800542C	0x08005524	diff		GetPortraitData+0x10	ROMFE8JP.cs:30
icon_pointer	0x080036D4	0x080036B4	diff		GetIconTileIndex+0x64	ROMFE8JP.cs:32
icon_orignal_address	0x085BA470	0x085926F4	same	item_icon_sword_slim	item_icon_sword_slim	ROMFE8JP.cs:33
icon_palette_pointer	0x0800351C	0x080035D0	diff		LoadIconPalettes+0x14	ROMFE8JP.cs:36
unit_wait_barista_anime_address	0x0802727C	0x080272D8	diff		RefreshUnitSprites+0x138	ROMFE8JP.cs:38
unit_icon_palette_address	0x085C7340	0x0859EE20	same	gPal_MapSprite	gPal_MapSprite	ROMFE8JP.cs:40
unit_icon_enemey_palette_address	0x085C7360	0x0859EE40	same	unit_icon_pal_enemy	unit_icon_pal_enemy	ROMFE8JP.cs:41
